Timestep,a_0,a_1,b
0,-150.0,-150.0,1.1486785837263922e11
0,-78.54369833649254,-87.0000000000001,1.144067740887624e11
0,-87.0000000000001,0.0,1.31792097215819e11
0,-102.67012216756358,-127.10317940652563,1.3229190435494087e11
0,0.0,0.0,1.3749619554992703e11
0,-87.0000000000001,-81.74479670799984,1.381769868058185e11
0,-87.0000000000001,-121.15846314511069,1.3869742294460263e11
0,-87.0000000000001,-58.655038664629274,1.385129769878069e11
0,0.0,-26.756547362507554,1.3892725310342203e11
0,-87.0000000000001,-26.756547362507558,1.3953099797111676e11
0,-87.0000000000001,-26.756547362507558,1.3953099797111685e11
0,-84.39549732659647,-33.362152149357506,1.3974383719671652e11
0,-87.0000000000001,-26.970678380895734,1.3978445069736472e11
0,-87.0000000000001,-26.970678380895738,1.3978445069736484e11
0,-86.67944849449438,-27.094184816439594,1.397843964616127e11
0,-87.0000000000001,-50.45396518557934,1.399403240444458e11
0,-30.682592829211494,-23.774055893818055,1.3971783566451816e11
0,-87.0000000000001,-23.77405589381805,1.4003168416040454e11
0,-86.99849449404893,-23.77405930333699,1.4003167992553607e11
0,-86.56061714594485,-23.775834330317075,1.4003065919603415e11
0,-80.47163240778796,-45.05438078908739,1.401221306412407e11
0,-87.0000000000001,-54.13791888335518,1.401888595633823e11
0,-59.312143193376116,-30.791289486139256,1.4009972093440112e11
0,-87.0000000000001,-30.791289486139256,1.402346999000771e11
0,-86.95138656148202,-30.791289486139256,1.4023462135097665e11
0,-87.0000000000001,-30.791289486139252,1.402354970336138e11
0,-86.8346175699659,-30.791289486139252,1.40235203128642e11
0,-86.83036413428002,-30.791289486139252,1.4023519823406656e11
0,-87.0000000000001,-30.791289486139252,1.402367676219017e11
0,-86.78797062653558,-30.791289486139252,1.402363432931649e11
0,-87.0000000000001,-30.791289486139252,1.402371964337491e11
0,-86.78797062653558,-30.791289486139252,1.402367545641331e11
0,-86.74148790955414,-30.791383619217946,1.4023672775299667e11
0,-86.9420565332166,-33.1657449817434,1.402497121969911e11
0,-86.99961824050752,-33.85368286085484,1.4025304469346915e11
0,-86.98679754890723,-33.75583385808273,1.4025281979671393e11
0,-87.0000000000001,-37.16364861420074,1.4028089102157178e11
0,-87.00000000000009,-37.16364861420073,1.4028089102157175e11
0,-86.71254658869931,-37.08532990258479,1.402798075207435e11
0,-86.77075446887964,-37.161595603433895,1.402803985520141e11
0,-86.31120665383429,-36.81775535896766,1.402783277504091e11
0,-87.0000000000001,-33.514384259325645,1.4027011121211072e11
0,-86.64407398042057,-33.558303122246826,1.4026952326471558e11
0,-85.83769929526419,-34.81846971956052,1.4027372315424527e11
0,-86.74215863432812,-37.73582066485585,1.402916244931292e11
0,-86.9435972012593,-36.82723588543244,1.4028882995210046e11
0,-86.86447285993492,-36.57143116251125,1.4028772077424646e11
0,-86.59950183906173,-36.43636758315895,1.4028655635555545e11
0,-86.97069683458061,-39.6241328896812,1.4030285912921246e11
0,-87.0000000000001,-40.51077564280869,1.4031083533519443e11
0,-87.0000000000001,-40.510775642808696,1.4031083533519446e11
0,-86.64437237856086,-39.52686784322672,1.4030513940332153e11
0,-86.73490725042637,-39.74555409728505,1.4030655415445575e11
0,-86.44561177577843,-40.27957562474531,1.403085382279434e11
0,-86.5102966973066,-39.62238195232604,1.4030541182062955e11
0,-86.92631865662838,-41.93799679378832,1.4031955430671872e11
0,-86.97013715303741,-42.730797084885545,1.4032380358374796e11
0,-87.0000000000001,-41.0870350691797,1.4031773990948163e11
0,-86.60840788251919,-41.01771361134862,1.403165101606036e11
0,-86.99999998563922,-40.10885004144064,1.4031378923049585e11
1,-150.0,-150.0,1.1318097459528871e11
1,-78.54369833649254,-87.00000000000007,1.1225997974985799e11
1,-87.0000000000001,0.0,1.2967403907761275e11
1,-102.67012216756358,-127.10317940652563,1.30194897400657e11
1,0.0,0.0,1.3544826739850874e11
1,-87.0000000000001,-76.35704306966915,1.3602245630219238e11
1,-87.0000000000001,-121.15846314511069,1.3656513465837529e11
1,-87.0000000000001,-58.655038664629274,1.3637078059206439e11
1,0.0,-26.756547362507554,1.3686745063550725e11
1,-87.0000000000001,-26.756547362507558,1.3740021145601613e11
1,-86.70190035162169,-26.756547362507558,1.3739935023049272e11
1,-84.39549732659647,-33.362152149357506,1.376111220476469e11
1,-87.0000000000001,-26.970678380895734,1.376516215891154e11
1,-87.0000000000001,-26.970678380895738,1.3765162158911545e11
1,-85.51744928703619,-27.541895645286044,1.376508655279129e11
1,-87.0000000000001,-50.45396518557934,1.3779712951999915e11
1,-30.682592829211494,-23.774055893818055,1.3762713089203043e11
1,-87.0000000000001,-23.77405589381805,1.3790032959314398e11
1,-84.96785429999468,-23.77865809366,1.378943019445021e11
1,-84.96785429999468,-23.78228116262605,1.378954280747115e11
1,-78.6707034168329,-50.9248152429548,1.3800315621945963e11
1,-87.0000000000001,-61.395126321421834,1.3807124187700128e11
1,-59.312143193376116,-30.791289486139256,1.3798363857774817e11
1,-87.0000000000001,-30.791289486139256,1.3810013893288535e11
1,-86.77516284685397,-30.791289486139256,1.380997540824477e11
1,-87.0000000000001,-30.791289486139252,1.3810093606642203e11
1,-86.7339500038581,-30.791289486139252,1.3810052921046832e11
1,-86.98875877711596,-30.791289486139252,1.3810093326648315e11
1,-87.0000000000001,-30.791289486139252,1.3810220665471e11
1,-86.01936414772666,-30.791289486139252,1.381001500958368e11
1,-87.0000000000001,-30.791289486139252,1.3810263546655737e11
1,-86.01936414772665,-30.791289486139252,1.3810049778111838e11
1,-86.58413272406524,-30.791440917613674,1.3810198454374197e11
1,-86.9979821283965,-33.53672999176367,1.3811563050281458e11
1,-87.0000000000001,-34.03578849734979,1.3811775875921793e11
1,-86.93893866369565,-32.74099829074016,1.3811291844901822e11
1,-87.0000000000001,-37.16364861420074,1.3814346221193604e11
1,-85.79555238688869,-36.96541261543095,1.3813913047274368e11
1,-86.24030169870514,-36.95666344778719,1.381407237561648e11
1,-85.93973941856814,-37.15415343940409,1.3814108884808252e11
1,-85.89251762414212,-36.60750113363761,1.38139793694024e11
1,-87.0000000000001,-33.514384259325645,1.3813432212989468e11
1,-85.35384215944491,-33.71750900033603,1.38131321927504e11
1,-84.13428783744914,-36.729674028293054,1.3814170720577963e11
1,-86.70187092094189,-38.39542010321994,1.381565048285306e11
1,-86.94359720125935,-36.82723588543244,1.381515801361303e11
1,-86.86447285993486,-36.57143116251125,1.3815062460937085e11
1,-86.25172737416557,-36.259096635259056,1.3814806895942712e11
1,-87.00000000000007,-40.46625750407291,1.3816729773316656e11
1,-87.0000000000001,-40.51077564280869,1.381719154391778e11
1,-86.70190035162169,-40.56650139983916,1.3817124342268228e11
1,-86.10349487667816,-40.21188107729171,1.3816840240600247e11
1,-86.46951568601963,-40.25607036544564,1.3816981683485794e11
1,-85.95010575200945,-40.08757914951208,1.3816791716250705e11
1,-86.4507400691339,-40.57164200008214,1.381715224668828e11
1,-86.92631865662838,-41.93799679378832,1.381800567827547e11
1,-86.97013715303741,-42.730797084885545,1.381839433485097e11
1,-87.0000000000001,-41.0870350691797,1.381785719259577e11
1,-86.09446261542506,-40.926732629939835,1.3817587980518658e11
1,-86.99999992637248,-36.071919218156076,1.3815651911008945e11
2,-150.0,-150.0,1.1152564279418588e11
2,-69.12959592390195,-78.69998393163277,1.0962126791929248e11
2,-87.00000000000009,0.0,1.2727790330904225e11
2,-102.67012216756358,-127.10317940652563,1.278064708756726e11
2,0.0,0.0,1.3312472807916536e11
2,-87.0000000000001,-76.3570430696691,1.3359244567142247e11
2,-87.0000000000001,-121.15846314511069,1.3416451462507878e11
2,-87.0000000000001,-58.655038664629274,1.3394693050879741e11
2,0.0,-26.756547362507554,1.3453093316328918e11
2,-87.0000000000001,-26.756547362507558,1.3499087217644882e11
2,-71.05614797788407,-26.756547362507558,1.3493990407289133e11
2,-84.39549732659647,-33.362152149357506,1.3520052860816812e11
2,-87.0000000000001,-26.970678380895734,1.352421521471959e11
2,-87.0000000000001,-26.970678380895738,1.3524215214719594e11
2,-79.1636605171909,-29.98996963553017,1.3523442061106262e11
2,-87.0000000000001,-50.45396518557934,1.3537692123957472e11
2,-30.682592829211494,-23.774055893818055,1.3526382892833662e11
2,-87.0000000000001,-23.77405589381805,1.3549233255666962e11
2,-62.933730952421485,-23.828558767114384,1.354154697332919e11
2,-72.7357638551432,-23.831791506294994,1.3545466402033437e11
2,-78.6707034168329,-50.9248152429548,1.3558860494850742e11
2,-87.0000000000001,-61.395126321421834,1.3564609764283026e11
2,-59.312143193376116,-30.791289486139256,1.3559362089939357e11
2,-87.00000000000007,-30.791289486139256,1.356889135436038e11
2,-86.44540168890641,-30.791289486139256,1.35688103713342e11
2,-87.0000000000001,-30.791289486139252,1.3568971067714052e11
2,-85.59373573467813,-30.791289486139252,1.3568712845344774e11
2,-86.94058210761254,-30.791289486139252,1.3568967763717458e11
2,-87.00000000000009,-30.791289486139252,1.3569098126542845e11
2,-81.81663906655479,-30.791289486139252,1.3567886118437508e11
2,-87.0000000000001,-30.791289486139252,1.356914100772758e11
2,-85.01518650048914,-30.791289486139252,1.3568762055996577e11
2,-84.80184439863021,-30.792089909646936,1.3568735310304726e11
2,-86.99798212839653,-33.536729991763664,1.3570314469502051e11
2,-87.00000000000007,-34.03578849734977,1.3570504223583055e11
2,-86.93893866369571,-32.74099829074014,1.3570083839846727e11
2,-87.0000000000001,-37.16364861420074,1.3572930817591637e11
2,-80.63363404498263,-36.11582976356047,1.3570557482030606e11
2,-82.98445183601258,-36.06958416315776,1.3571452485990887e11
2,-81.39576549814555,-37.11345983313277,1.35715455981359e11
2,-81.1461645847509,-34.22401193122432,1.3571038768084625e11
2,-87.00000000000009,-33.514384259325645,1.357218452821207e11
2,-84.50862597577542,-33.83291197358729,1.3571807313307637e11
2,-84.1342878374492,-36.72967402829309,1.3572973836311682e11
2,-86.70187092094189,-38.39542010321992,1.3574198682746599e11
2,-87.00000000000009,-36.46132623461537,1.3573645277893956e11
2,-86.28501701143793,-37.04219254939566,1.3573766345304971e11
2,-86.23097543626723,-36.25348817660086,1.3573478548313414e11
2,-87.00000000000007,-40.46625750407291,1.3575162811342287e11
2,-87.0000000000001,-40.51077564280869,1.3575622554176886e11
2,-76.91978987935443,-42.39513660416784,1.3572922385302805e11
2,-82.26133006244129,-38.93090436793326,1.3573749932897008e11
2,-84.19601148324628,-39.164476319604084,1.3574523841711984e11
