Timestep,Import_FR_MW,Import_PT_MW
0,2800.0,233.48375865624985
1,2800.0,233.48375865624985
2,2800.0,-113.3396700035646
3,2800.0,-113.3396700035646
4,1444.4142350255042,-1890.0019033854992
5,1444.4142350255042,-1890.0019033854992
6,1432.7285231238634,-1752.2396599825001
7,1432.7285231238634,-1752.2396599825001
8,2800.0,-1938.6347145013788
9,2800.0,-1938.6347145013788
10,-2800.0,-3464.894758897249
11,-2800.0,-3464.894758897249
12,-1676.304707953188,-3482.624606822
13,-1676.304707953188,-3482.624606822
14,602.6956043697173,-4200.0
15,602.6956043697173,-4200.0
16,335.26906754232095,-3806.573650517
17,335.26906754232095,-3806.573650517
18,2800.0,-3265.4086496679993
19,2800.0,-3265.4086496679993
20,2800.0,-1400.0726188729996
21,2800.0,-1400.0726188729996
22,2800.0,-3982.984032326749
23,2800.0,-3982.984032326749
24,2800.0,-1319.1338762809992
25,2800.0,-1319.1338762809992
26,1410.9171984413965,-2568.1063035055
27,1410.9171984413965,-2568.1063035055
28,-2171.4595560871803,-1517.4483470025002
29,-2171.4595560871803,-1517.4483470025002
30,-1639.5226938839205,-1229.334625237499
31,-1639.5226938839205,-1229.334625237499
32,46.082154212269415,-1508.8740090622496
33,46.082154212269415,-1508.8740090622496
34,-2800.0,-3452.6835795442494
35,-2800.0,-3452.6835795442494
36,-2800.0,-3776.8022983974997
37,-2800.0,-3776.8022983974997
38,-2800.0,-3818.2148650994995
39,-2800.0,-3818.2148650994995
40,-291.3230496424244,-3653.4666842327492
41,-291.3230496424244,-3653.4666842327492
42,2800.0,-1241.9444055642498
43,2800.0,-1241.9444055642498
44,2800.0,-1142.6906271734997
45,2800.0,-1142.6906271734997
46,2800.0,-897.4165261517492
47,2800.0,-897.4165261517492
48,2800.0,1455.3189097477498
49,2800.0,1455.3189097477498
50,2800.0,-2936.036627513
51,2800.0,-2936.036627513
52,2800.0,-690.442793551204
53,2800.0,-690.442793551204
54,2800.0,-1525.6336244627555
55,2800.0,-1525.6336244627555
56,2800.0,-1693.9577314095504
57,2800.0,-1693.9577314095504
58,-2800.0,-4200.0
59,-2800.0,-4200.0
60,-2800.0,-4200.0
61,-2800.0,-4200.0
62,-2800.0,-4200.0
63,-2800.0,-4200.0
64,1246.728150348321,-4200.0
65,1246.728150348321,-4200.0
66,2800.0,-3565.067940877792
67,2800.0,-3565.067940877792
68,2800.0,-769.1701160897501
69,2800.0,-769.1701160897501
70,2800.0,-4200.0
71,2800.0,-4200.0
72,2800.0,883.3495339065003
73,2800.0,883.3495339065003
74,2800.0,-3433.3130912584998
75,2800.0,-3433.3130912584998
76,1970.2198695172856,-3437.0965496562494
77,1970.2198695172856,-3437.0965496562494
78,1528.7541896124335,-3901.767104115749
79,1528.7541896124335,-3901.767104115749
80,1758.1922457456849,-4200.0
81,1758.1922457456849,-4200.0
82,-2800.0,-4200.0
83,-2800.0,-4200.0
84,-2800.0,-4200.0
85,-2800.0,-4200.0
86,-2800.0,-4200.0
87,-2800.0,-4200.0
88,416.8667634097965,-4200.0
89,416.8667634097965,-4200.0
90,2800.0,-4200.0
91,2800.0,-4200.0
92,2800.0,-4128.537623664999
93,2800.0,-4128.537623664999
94,2800.0,-1286.383853528499
95,2800.0,-1286.383853528499
96,2800.0,51.62396712200007
97,2800.0,51.62396712200007
98,2800.0,375.82775324310205
99,2800.0,375.82775324310205
100,2800.0,-2286.6715936534993
101,2800.0,-2286.6715936534993
102,2800.0,-563.7398152050005
103,2800.0,-563.7398152050005
104,2800.0,-2144.4187094069994
105,2800.0,-2144.4187094069994
106,2800.0,-2373.46711156125
107,2800.0,-2373.46711156125
108,-2800.0,-3909.5111645896723
109,-2800.0,-3909.5111645896723
110,-2137.5305783907897,-4200.0
111,-2137.5305783907897,-4200.0
112,2800.0,-54.1481846432489
113,2800.0,-54.1481846432489
114,2800.0,-3815.499490822748
115,2800.0,-3815.499490822748
116,2800.0,-411.40652909399887
