Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
0,6940.97,0.0,0.0
1,6940.97,0.0,0.0
2,6940.97,0.0,0.0
3,6940.97,0.0,0.0
4,6940.97,0.0,0.0
5,6940.97,0.0,0.0
6,6940.97,0.0,6670.247714835705
7,6940.97,0.0,6670.247714835705
8,6940.97,0.0,28062.44620056628
9,6940.97,0.0,28062.44620056628
10,6940.97,0.0,32419.723699440416
11,6940.97,0.0,32419.723699440416
12,6940.97,0.0,40918.27970296296
13,6940.97,0.0,40918.27970296296
14,6940.97,0.0,64382.65810117002
15,6940.97,0.0,64382.65810117002
16,6940.97,0.0,70364.3
17,6940.97,0.0,70364.3
18,6940.97,0.0,70364.3
19,6940.97,0.0,70364.3
20,6940.97,0.0,53662.80422923549
21,6940.97,0.0,53662.80422923549
22,6940.97,0.0,28544.87311019089
23,6940.97,0.0,28544.87311019089
24,6940.97,0.0,3027.03467904605
25,6940.97,0.0,3027.03467904605
26,6940.97,0.0,0.0
27,6940.97,0.0,0.0
28,6940.97,0.0,0.0
29,6940.97,0.0,0.0
30,6940.97,0.0,2389.85842153088
31,6940.97,0.0,2389.85842153088
32,6940.97,0.0,17024.488237219175
33,6940.97,0.0,17024.488237219175
34,6940.97,0.0,14315.530447907904
35,6940.97,0.0,14315.530447907904
36,6940.97,0.0,17053.338886694015
37,6940.97,0.0,17053.338886694015
38,6940.97,0.0,49693.257002362894
39,6940.97,0.0,49693.257002362894
40,6940.97,0.0,70364.3
41,6940.97,0.0,70364.3
42,6940.97,8787.34,70364.3
43,6940.97,8787.34,70364.3
44,6940.97,8119.368282601847,70364.3
45,6940.97,8119.368282601847,70364.3
46,6940.97,0.0,54035.46353196154
47,6940.97,0.0,54035.46353196154
48,6940.97,0.0,39290.13539330367
49,6940.97,0.0,39290.13539330367
50,6940.97,0.0,32110.6129782786
51,6940.97,0.0,32110.6129782786
52,6940.97,0.0,62851.98474069634
53,6940.97,0.0,62851.98474069634
54,6940.97,8787.34,70364.3
55,6940.97,8787.34,70364.3
56,6940.97,8787.34,70364.3
57,6940.97,8787.34,70364.3
58,6940.97,6367.803204220489,70364.3
59,6940.97,6367.803204220489,70364.3
60,6940.97,8787.34,70364.3
61,6940.97,8787.34,70364.3
62,6940.97,0.0,70364.3
63,6940.97,0.0,70364.3
64,6940.97,8787.34,70364.3
65,6940.97,8787.34,70364.3
66,6940.97,0.0,70364.3
67,6940.97,0.0,70364.3
68,6940.97,8787.34,70364.3
69,6940.97,8787.34,70364.3
70,6940.97,8787.34,70364.3
71,6940.97,8787.34,70364.3
72,6940.97,8787.34,70364.3
73,6940.97,8787.34,70364.3
74,6940.97,0.0,70364.3
75,6940.97,0.0,70364.3
76,6940.97,8787.34,70364.3
77,6940.97,8787.34,70364.3
78,6940.97,8787.34,70364.3
79,6940.97,8787.34,70364.3
80,6940.97,0.0,70364.3
81,6940.97,0.0,70364.3
82,6940.97,0.0,70364.3
83,6940.97,0.0,70364.3
84,6940.97,8787.34,70364.3
85,6940.97,8787.34,70364.3
86,6940.97,0.0,70364.3
87,6940.97,0.0,70364.3
88,6940.97,8787.34,70364.3
89,6940.97,8787.34,70364.3
90,6940.97,0.0,70364.3
91,6940.97,0.0,70364.3
92,6940.97,8787.34,70364.3
93,6940.97,8787.34,70364.3
94,6940.97,6941.264377335396,70364.3
95,6940.97,6941.264377335396,70364.3
96,6940.97,0.0,51567.693652146416
97,6940.97,0.0,51567.693652146416
98,6940.97,0.0,45408.472338556494
99,6940.97,0.0,45408.472338556494
100,6940.97,0.0,70364.3
101,6940.97,0.0,70364.3
102,6940.97,8787.34,70364.3
103,6940.97,8787.34,70364.3
104,6940.97,8787.34,70364.3
105,6940.97,8787.34,70364.3
106,6940.97,0.0,70364.3
107,6940.97,0.0,70364.3
108,6940.97,0.0,70364.3
109,6940.97,0.0,70364.3
110,6940.97,0.0,70364.3
111,6940.97,0.0,70364.3
112,6940.97,8787.34,70364.3
113,6940.97,8787.34,70364.3
114,6940.97,8787.34,70364.3
115,6940.97,8787.34,70364.3
116,6940.97,8787.34,70364.3
117,6940.97,8787.34,70364.3
118,6940.97,0.0,63277.65741699109
119,6940.97,0.0,63277.65741699109
120,6940.97,0.0,31390.132126527795
121,6940.97,0.0,31390.132126527795
122,6940.97,0.0,18600.616276109497
123,6940.97,0.0,18600.616276109497
124,6940.97,0.0,47902.705491734945
125,6940.97,0.0,47902.705491734945
126,6940.97,8787.34,70364.3
127,6940.97,8787.34,70364.3
128,6940.97,8787.34,70364.3
129,6940.97,8787.34,70364.3
130,6940.97,0.0,70364.3
131,6940.97,0.0,70364.3
132,6940.97,3145.9377365366563,70364.3
133,6940.97,3145.9377365366563,70364.3
134,6940.97,3114.9630010910496,70364.3
135,6940.97,3114.9630010910496,70364.3
136,6940.97,0.0,70364.3
137,6940.97,0.0,70364.3
138,6940.97,8787.34,70364.3
139,6940.97,8787.34,70364.3
140,6940.97,8787.34,70364.3
141,6940.97,8787.34,70364.3
142,6940.97,0.0,41215.840547363136
143,6940.97,0.0,41215.840547363136
144,6940.97,0.0,3842.6816236689174
145,6940.97,0.0,3842.6816236689174
146,6940.97,0.0,0.0
147,6940.97,0.0,0.0
148,6940.97,0.0,4075.722967988717
149,6940.97,0.0,4075.722967988717
150,6940.97,0.0,60076.78683057925
151,6940.97,0.0,60076.78683057925
152,6940.97,0.0,69852.43519813397
153,6940.97,0.0,69852.43519813397
154,6940.97,0.0,60569.19565111368
155,6940.97,0.0,60569.19565111368
156,6940.97,0.0,57924.60491968141
157,6940.97,0.0,57924.60491968141
158,6940.97,0.0,70364.3
159,6940.97,0.0,70364.3
160,6940.97,0.0,70364.3
161,6940.97,0.0,70364.3
162,6940.97,0.0,69874.96003949994
163,6940.97,0.0,69874.96003949994
164,6940.97,0.0,39975.47322578513
165,6940.97,0.0,39975.47322578513
166,6940.97,0.0,11314.160716854123
167,6940.97,0.0,11314.160716854123
168,6940.97,0.0,0.0
169,6940.97,0.0,0.0
170,6940.97,0.0,0.0
171,6940.97,0.0,0.0
172,6940.97,0.0,0.0
173,6940.97,0.0,0.0
174,6940.97,0.0,0.0
175,6940.97,0.0,0.0
176,6940.97,0.0,14.455633591365768
177,6940.97,0.0,14.455633591365768
178,6940.97,0.0,0.0
179,6940.97,0.0,0.0
180,6940.97,0.0,0.0
181,6940.97,0.0,0.0
182,6940.97,0.0,46.18896290913108
183,6940.97,0.0,46.18896290913108
184,6940.97,0.0,25013.124705627997
185,6940.97,0.0,25013.124705627997
186,6940.97,0.0,21974.975398801354
187,6940.97,0.0,21974.975398801354
188,6940.97,0.0,0.0
189,6940.97,0.0,0.0
190,6940.97,0.0,0.0
191,6940.97,0.0,0.0
192,6940.97,0.0,0.0
193,6940.97,0.0,0.0
194,6940.97,0.0,0.0
195,6940.97,0.0,0.0
196,6940.97,0.0,0.0
197,6940.97,0.0,0.0
198,6940.97,0.0,0.0
199,6940.97,0.0,0.0
200,6940.97,0.0,0.0
201,6940.97,0.0,0.0
202,6940.97,0.0,0.0
203,6940.97,0.0,0.0
204,2397.300806895604,0.0,0.0
205,2397.300806895604,0.0,0.0
206,6115.094660108989,0.0,0.0
207,6115.094660108989,0.0,0.0
208,6940.97,0.0,27962.323277635296
209,6940.97,0.0,27962.323277635296
210,6940.97,0.0,26217.827362932003
211,6940.97,0.0,26217.827362932003
212,6940.97,0.0,7256.515993489273
213,6940.97,0.0,7256.515993489273
214,6940.97,0.0,0.0
215,6940.97,0.0,0.0
216,6940.97,0.0,0.0
217,6940.97,0.0,0.0
218,6940.97,0.0,0.0
219,6940.97,0.0,0.0
220,6940.97,0.0,886.7353228543943
221,6940.97,0.0,886.7353228543943
222,6940.97,6751.285341681072,56547.47611669294
223,6940.97,6751.285341681072,56547.47611669294
224,6940.97,2785.601943230398,61391.8514512002
225,6940.97,2785.601943230398,61391.8514512002
226,6940.97,0.0,52396.15208179355
227,6940.97,0.0,52396.15208179355
228,6940.97,0.0,54186.22272752898
229,6940.97,0.0,54186.22272752898
230,6940.97,0.0,67368.41222976628
231,6940.97,0.0,67368.41222976628
232,6940.97,4129.129420845831,70364.3
233,6940.97,4129.129420845831,70364.3
234,6940.97,109.58002607331353,70364.3
235,6940.97,109.58002607331353,70364.3
236,6940.97,0.0,49137.975995393586
237,6940.97,0.0,49137.975995393586
238,6940.97,0.0,12997.084369767603
239,6940.97,0.0,12997.084369767603
240,6940.97,0.0,0.0
241,6940.97,0.0,0.0
242,6940.97,0.0,0.0
243,6940.97,0.0,0.0
244,6940.97,0.0,24465.53781389806
245,6940.97,0.0,24465.53781389806
246,6940.97,4535.310145291576,70364.3
247,6940.97,4535.310145291576,70364.3
248,6940.97,1949.3228337509136,69377.54882808166
249,6940.97,1949.3228337509136,69377.54882808166
250,6940.97,0.0,54317.93747247345
251,6940.97,0.0,54317.93747247345
252,2091.4951756042683,0.0,63556.436668067094
253,2091.4951756042683,0.0,63556.436668067094
254,3615.0401495520964,0.0,70364.3
255,3615.0401495520964,0.0,70364.3
256,6940.97,0.0,70364.3
257,6940.97,0.0,70364.3
258,6940.97,5915.00299480811,70364.3
259,6940.97,5915.00299480811,70364.3
260,6940.97,1075.348451693937,70364.3
261,6940.97,1075.348451693937,70364.3
262,6940.97,281.4406365837367,42611.688943498244
263,6940.97,281.4406365837367,42611.688943498244
264,6940.97,0.0,22164.81842170027
265,6940.97,0.0,22164.81842170027
266,6940.97,0.0,19548.533672785474
267,6940.97,0.0,19548.533672785474
268,6940.97,0.0,46488.04755121976
269,6940.97,0.0,46488.04755121976
270,6940.97,2443.3649829581336,70364.3
271,6940.97,2443.3649829581336,70364.3
272,6940.97,5889.510929852291,70364.3
273,6940.97,5889.510929852291,70364.3
274,6940.97,996.9438838182141,70364.3
275,6940.97,996.9438838182141,70364.3
276,6940.97,0.0,70364.3
277,6940.97,0.0,70364.3
278,6940.97,2884.946785674738,70364.3
279,6940.97,2884.946785674738,70364.3
280,6940.97,8787.34,70364.3
281,6940.97,8787.34,70364.3
282,6940.97,7720.664446313593,70364.3
283,6940.97,7720.664446313593,70364.3
284,6940.97,241.00783287271952,70364.3
285,6940.97,241.00783287271952,70364.3
286,6940.97,0.0,39828.4889747391
287,6940.97,0.0,39828.4889747391
288,6940.97,0.0,14701.304987750715
289,6940.97,0.0,14701.304987750715
290,6940.97,0.0,6888.01213037406
291,6940.97,0.0,6888.01213037406
292,6940.97,0.0,29223.522809181857
293,6940.97,0.0,29223.522809181857
294,6940.97,1225.4357938061548,70364.3
295,6940.97,1225.4357938061548,70364.3
296,6940.97,466.88983220675436,70364.3
297,6940.97,466.88983220675436,70364.3
298,6940.97,0.0,60076.53145964231
299,6940.97,0.0,60076.53145964231
300,6940.97,0.0,58025.02578634498
301,6940.97,0.0,58025.02578634498
302,6940.97,0.0,70364.3
303,6940.97,0.0,70364.3
304,6940.97,5593.268999354954,70364.3
305,6940.97,5593.268999354954,70364.3
306,6940.97,7932.1829771809535,70364.3
307,6940.97,7932.1829771809535,70364.3
308,6940.97,5162.826000035797,45883.96706163543
309,6940.97,5162.826000035797,45883.96706163543
310,6940.97,6285.8078266305565,6911.518623230222
311,6940.97,6285.8078266305565,6911.518623230222
312,6940.97,0.0,0.0
313,6940.97,0.0,0.0
314,6940.97,0.0,0.0
315,6940.97,0.0,0.0
316,6940.97,6260.8746707577375,30039.486122659087
317,6940.97,6260.8746707577375,30039.486122659087
318,6940.97,8787.34,70364.3
319,6940.97,8787.34,70364.3
320,6940.97,8787.34,70364.3
321,6940.97,8787.34,70364.3
322,6940.97,8787.34,70364.3
323,6940.97,8787.34,70364.3
324,4934.432568040753,8787.34,70364.3
325,4934.432568040753,8787.34,70364.3
326,5001.001452164637,8787.34,70364.3
327,5001.001452164637,8787.34,70364.3
328,6940.97,8787.34,70364.3
329,6940.97,8787.34,70364.3
330,6940.97,8787.34,70364.3
331,6940.97,8787.34,70364.3
332,6940.97,8787.34,70364.3
333,6940.97,8787.34,70364.3
334,6940.97,7785.810158728676,70364.3
335,6940.97,7785.810158728676,70364.3
336,6940.97,0.0,56581.4299339133
337,6940.97,0.0,56581.4299339133
338,6940.97,0.0,44761.91231858069
339,6940.97,0.0,44761.91231858069
340,6940.97,0.0,49861.99572903737
341,6940.97,0.0,49861.99572903737
342,6940.97,8787.34,70364.3
343,6940.97,8787.34,70364.3
344,6940.97,8787.34,70364.3
345,6940.97,8787.34,70364.3
346,6940.97,163.78149917302653,70364.3
347,6940.97,163.78149917302653,70364.3
348,6940.97,0.0,67244.80900073687
349,6940.97,0.0,67244.80900073687
350,6940.97,0.0,70364.3
351,6940.97,0.0,70364.3
352,6940.97,8787.34,70364.3
353,6940.97,8787.34,70364.3
354,6940.97,8787.34,70364.3
355,6940.97,8787.34,70364.3
356,6940.97,7681.422940178256,70364.3
357,6940.97,7681.422940178256,70364.3
358,6940.97,3710.5012841693806,70364.3
359,6940.97,3710.5012841693806,70364.3
360,6940.97,0.0,53472.52479507336
361,6940.97,0.0,53472.52479507336
362,6940.97,0.0,43035.0944968988
363,6940.97,0.0,43035.0944968988
364,6940.97,0.0,47369.04941192911
365,6940.97,0.0,47369.04941192911
366,6940.97,0.0,63776.79067669013
367,6940.97,0.0,63776.79067669013
368,6940.97,0.0,70364.3
369,6940.97,0.0,70364.3
370,6940.97,0.0,70364.3
371,6940.97,0.0,70364.3
372,6940.97,0.0,70364.3
373,6940.97,0.0,70364.3
374,6940.97,0.0,70364.3
375,6940.97,0.0,70364.3
376,6940.97,0.0,70364.3
377,6940.97,0.0,70364.3
378,6940.97,0.0,70364.3
379,6940.97,0.0,70364.3
380,6940.97,0.0,70364.3
381,6940.97,0.0,70364.3
382,6940.97,0.0,70364.3
383,6940.97,0.0,70364.3
384,6940.97,0.0,70364.3
385,6940.97,0.0,70364.3
386,6940.97,0.0,70364.3
387,6940.97,0.0,70364.3
388,6940.97,0.0,70364.3
389,6940.97,0.0,70364.3
390,6940.97,0.0,70364.3
391,6940.97,0.0,70364.3
392,6940.97,0.0,70364.3
393,6940.97,0.0,70364.3
394,6940.97,0.0,70364.3
395,6940.97,0.0,70364.3
396,1085.8558240738676,0.0,70364.3
397,1085.8558240738676,0.0,70364.3
398,3197.0702074174296,0.0,70364.3
399,3197.0702074174296,0.0,70364.3
400,6940.97,8787.34,70364.3
401,6940.97,8787.34,70364.3
402,6940.97,8787.34,70364.3
403,6940.97,8787.34,70364.3
404,6940.97,0.0,70364.3
405,6940.97,0.0,70364.3
406,6940.97,0.0,70364.3
407,6940.97,0.0,70364.3
408,6940.97,0.0,70364.3
409,6940.97,0.0,70364.3
410,6940.97,0.0,70364.3
411,6940.97,0.0,70364.3
412,6940.97,0.0,70364.3
413,6940.97,0.0,70364.3
414,6940.97,0.0,70364.3
415,6940.97,0.0,70364.3
416,6940.97,0.0,70364.3
417,6940.97,0.0,70364.3
418,6940.97,0.0,70364.3
419,6940.97,0.0,70364.3
420,6940.97,0.0,70364.3
421,6940.97,0.0,70364.3
422,6940.97,0.0,70364.3
423,6940.97,0.0,70364.3
424,6940.97,8787.34,70364.3
425,6940.97,8787.34,70364.3
426,6940.97,0.0,70364.3
427,6940.97,0.0,70364.3
428,6940.97,0.0,70364.3
429,6940.97,0.0,70364.3
430,6940.97,0.0,70364.3
431,6940.97,0.0,70364.3
432,6940.97,0.0,70364.3
433,6940.97,0.0,70364.3
434,6940.97,0.0,70364.3
435,6940.97,0.0,70364.3
436,6940.97,0.0,70364.3
437,6940.97,0.0,70364.3
438,6940.97,0.0,70364.3
439,6940.97,0.0,70364.3
440,6940.97,0.0,70364.3
441,6940.97,0.0,70364.3
442,6940.97,0.0,70364.3
443,6940.97,0.0,70364.3
444,4301.516062728075,0.0,70364.3
445,4301.516062728075,0.0,70364.3
446,6940.97,0.0,70364.3
447,6940.97,0.0,70364.3
448,6940.97,8787.34,70364.3
449,6940.97,8787.34,70364.3
450,6940.97,0.0,70364.3
451,6940.97,0.0,70364.3
452,6940.97,0.0,70364.3
453,6940.97,0.0,70364.3
454,6940.97,0.0,70364.3
455,6940.97,0.0,70364.3
456,6940.97,0.0,70364.3
457,6940.97,0.0,70364.3
458,6940.97,0.0,70364.3
459,6940.97,0.0,70364.3
460,6940.97,8787.34,70364.3
461,6940.97,8787.34,70364.3
462,6940.97,0.0,70364.3
463,6940.97,0.0,70364.3
464,6940.97,8787.34,70364.3
465,6940.97,8787.34,70364.3
466,6940.97,0.0,70364.3
467,6940.97,0.0,70364.3
468,3080.851588671263,0.0,70364.3
469,3080.851588671263,0.0,70364.3
470,4882.963322456213,0.0,70364.3
471,4882.963322456213,0.0,70364.3
472,6940.97,8787.34,70364.3
473,6940.97,8787.34,70364.3
474,6940.97,8787.34,70364.3
475,6940.97,8787.34,70364.3
476,6940.97,8787.34,70364.3
477,6940.97,8787.34,70364.3
478,6940.97,8787.34,70364.3
479,6940.97,8787.34,70364.3
480,6940.97,8787.34,70364.3
481,6940.97,8787.34,70364.3
482,6940.97,8787.34,70364.3
483,6940.97,8787.34,70364.3
484,6940.97,8787.34,70364.3
485,6940.97,8787.34,70364.3
486,6940.97,8787.34,70364.3
487,6940.97,8787.34,70364.3
488,6940.97,8787.34,70364.3
489,6940.97,8787.34,70364.3
490,6940.97,8787.34,70364.3
491,6940.97,8787.34,70364.3
492,2365.3290061882544,8787.34,70364.3
493,2365.3290061882544,8787.34,70364.3
494,4274.2942254853115,8787.34,70364.3
495,4274.2942254853115,8787.34,70364.3
496,6940.97,8787.34,70364.3
497,6940.97,8787.34,70364.3
498,6940.97,8787.34,70364.3
499,6940.97,8787.34,70364.3
500,6940.97,8787.34,70364.3
501,6940.97,8787.34,70364.3
502,6940.97,8787.34,70364.3
503,6940.97,8787.34,70364.3
504,6940.97,0.0,59689.86474088611
505,6940.97,0.0,59689.86474088611
506,6940.97,0.0,45545.488255772885
507,6940.97,0.0,45545.488255772885
508,6940.97,0.0,45300.16500069096
509,6940.97,0.0,45300.16500069096
510,6940.97,0.0,70364.3
511,6940.97,0.0,70364.3
512,6940.97,8787.34,70364.3
513,6940.97,8787.34,70364.3
514,6940.97,8705.651691742776,70364.3
515,6940.97,8705.651691742776,70364.3
516,2991.596043754973,4970.202519385493,70364.3
517,2991.596043754973,4970.202519385493,70364.3
518,3868.5067290638035,0.0,70364.3
519,3868.5067290638035,0.0,70364.3
520,6940.97,8787.34,70364.3
521,6940.97,8787.34,70364.3
