Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
0,2.3400000000000005e6,4.922711064e6,0.0,0.0,0.0,0.0
1,2.3414200000000005e6,4.918338347770862e6,0.0,0.0,0.0,0.0
2,2.3428400000000005e6,4.913965631541723e6,0.0,0.0,0.0,0.0
3,2.3435640000000005e6,4.908089290157022e6,0.0,0.0,0.0,0.0
4,2.3442880000000005e6,4.902212948772321e6,0.0,0.0,0.0,0.0
5,2.3450160000000005e6,4.896176634072101e6,0.0,0.0,0.0,0.0
6,2.3457440000000005e6,4.890140319371881e6,0.0,0.0,0.0,0.0
7,2.3467575000000005e6,4.884650270140547e6,0.0,0.0,0.0,0.0
8,2.3477710000000005e6,4.879160220909214e6,0.0,0.0,0.0,0.0
9,2.3493605000000005e6,4.875481962483881e6,0.0,0.0,0.0,0.0
10,2.3509500000000005e6,4.871803704058549e6,0.0,0.0,0.0,0.0
11,2.3532470000000005e6,4.868398268341855e6,0.0,0.0,0.0,0.0
12,2.3555440000000005e6,4.864992832625161e6,0.0,0.0,0.0,0.0
13,2.3573140000000005e6,4.860358454616374e6,0.0,0.0,0.0,0.0
14,2.3590840000000005e6,4.855724076607588e6,0.0,0.0,0.0,0.0
15,2.3600995000000005e6,4.851046915037674e6,0.0,0.0,0.0,0.0
16,2.3611150000000005e6,4.84636975346776e6,0.0,0.0,0.0,0.0
17,2.3637385000000005e6,4.84347276007171e6,0.0,0.0,0.0,0.0
18,2.3663620000000005e6,4.840575766675659e6,0.0,0.0,0.0,0.0
19,2.3687825000000005e6,4.840328253811452e6,0.0,0.0,0.0,0.0
20,2.3712030000000005e6,4.840080740947244e6,0.0,0.0,0.0,0.0
21,2.3724945000000005e6,4.839673254767517e6,0.0,0.0,0.0,0.0
22,2.3737860000000005e6,4.8392657685877895e6,0.0,0.0,0.0,0.0
23,2.3748245000000005e6,4.835677417645985e6,0.0,0.0,0.0,0.0
24,2.3758630000000005e6,4.832089066704182e6,0.0,0.0,0.0,0.0
